3333744
Day,Computer Science,Biology,Astrophysics,Visual Arts,Marketing
223,0.803,0.027,-0.003,0.226,0.19,
224,0.803,0.022,-0.009,0.238,0.188,
225,0.804,0.02,-0.005,0.245,0.19,
226,0.805,0.016,0.006,0.242,0.187,
227,0.813,0.015,0.008,0.244,0.191,
228,0.814,0.008,0.002,0.264,0.188,
229,0.814,0.006,0.005,0.248,0.206,
230,0.814,0.004,-0.001,0.261,0.205,
231,0.844,-0.004,-0.026,0.266,0.204,
232,0.838,-0.006,-0.041,0.289,0.205,
233,0.841,-0.009,-0.038,0.291,0.205,
234,0.825,0.005,-0.025,0.288,0.206,
235,0.827,0.014,-0.037,0.291,0.215,
236,0.821,0.04,-0.039,0.271,0.217,
237,0.817,0.03,-0.017,0.282,0.207,
238,0.805,0.033,-0.013,0.297,0.205,
239,0.804,0.031,-0.026,0.304,0.213,
240,0.814,0.028,-0.037,0.311,0.211,
241,0.819,0.016,-0.035,0.309,0.218,
242,0.824,0.007,-0.032,0.315,0.221,
243,0.826,0.004,-0.026,0.323,0.215,
244,0.822,0.004,-0.033,0.335,0.22,
245,0.82,0.006,-0.054,0.362,0.22,
246,0.808,0.005,-0.054,0.384,0.218,
247,0.815,0.005,-0.054,0.385,0.217,
248,0.814,0.003,-0.057,0.396,0.221,
249,0.816,0.002,-0.061,0.409,0.214,
250,0.819,0.001,-0.06,0.414,0.213,
251,0.82,0.005,-0.07,0.421,0.211,
252,0.823,0.015,-0.064,0.409,0.21,
253,0.82,0.018,-0.086,0.429,0.213,
254,0.82,0.019,-0.078,0.427,0.212,
255,0.818,0.017,-0.079,0.429,0.221,
256,0.817,0.015,-0.081,0.428,0.227,
257,0.808,0.019,-0.078,0.434,0.232,
258,0.808,0.015,-0.1,0.463,0.232,
259,0.807,0.015,-0.087,0.461,0.232,
260,0.822,0.015,-0.086,0.461,0.231,
261,0.82,0.012,-0.099,0.482,0.232,
262,0.826,0.018,-0.102,0.485,0.232,
263,0.836,0.018,-0.112,0.5,0.231,
264,0.829,0.019,-0.112,0.518,0.231,
265,0.827,0.027,-0.14,0.54,0.231,
266,0.826,0.027,-0.142,0.554,0.228,
267,0.826,0.028,-0.171,0.583,0.227,
268,0.835,0.027,-0.173,0.584,0.225,
269,0.843,0.025,-0.178,0.591,0.224,
270,0.841,0.025,-0.188,0.607,0.224,
271,0.824,0.023,-0.184,0.629,0.224,
272,0.82,0.018,-0.167,0.628,0.223,
273,0.819,0.025,-0.16,0.627,0.222,
274,0.826,0.023,-0.155,0.629,0.222,
275,0.823,0.028,-0.155,0.635,0.224,
276,0.804,0.024,-0.15,0.654,0.223,
277,0.802,0.009,-0.155,0.673,0.227,
278,0.8,0.01,-0.13,0.651,0.227,
279,0.801,0.01,-0.129,0.657,0.228,
280,0.804,0.012,-0.127,0.657,0.227,
281,0.813,0.008,-0.151,0.682,0.227,
282,0.82,0.008,-0.149,0.684,0.227,
283,0.81,0.009,-0.141,0.693,0.225,
284,0.814,0.008,-0.134,0.693,0.222,
285,0.822,0.007,-0.162,0.722,0.214,
286,0.822,0.007,-0.169,0.731,0.219,
287,0.825,0.007,-0.165,0.733,0.223,
288,0.819,0.005,-0.164,0.763,0.201,
